source,region,name,rating_raw,review_count_raw,location,price_range,categories,snippet
Yelp,Donegal,Sweet Babes Cakery,5.0,(6 reviews),Morgantown,,"“I'm from out of town and wanted an impressive graduation cake. Googled ""best Morgantownbakery,""...”more, Cake Shop & Patisserie Shops, Custom Cakes","“I'm from out of town and wanted an impressive graduation cake. Googled ""best Morgantown bakery ,""...” more"
Yelp,Donegal,Kellys Cake and Cookies,5.0,(1 review),Johnstown,,"“This is a small baker with incredible talent. Just got a small 6"" multilayer cake serving 12. Yellow (very moist with a great texture), buttercream…”more, Bakeries, Desserts","“This is a small baker with incredible talent. Just got a small 6"" multilayer cake serving 12. Yellow (very moist with a great texture), buttercream…” more"
Yelp,Donegal,Custom Cake and Cookies,until 16:00,,Johnstown,,"Donuts, Bakeries, Desserts",
Yelp,Donegal,The Pie Place,4.3,(67 reviews),Pittsburgh,$,"“The pie place is a very clean shop with nice staff offering all sorts ofbaked goods!”more, Bakeries",“The pie place is a very clean shop with nice staff offering all sorts of baked goods !” more
Yelp,Donegal,Maywood Grill,4.5,(197 reviews),Farmington,$$,"“I also purchasebaked goodsfrom their bakery to take home. I would definitely return to the...”more, New American, Coffee & Tea Shops, Bakeries",“I also purchase baked goods from their bakery to take home. I would definitely return to the...” more
Yelp,Donegal,Sweet Treats Bakery,5.0,(4 reviews),Freeport,$$,"“I recently attended a community event in upstate New York (Syracuse) and refreshments were served. I gravitated to the assortment of cupcakes which…”more, Bakeries, Custom Cakes",“I recently attended a community event in upstate New York (Syracuse) and refreshments were served. I gravitated to the assortment of cupcakes which…” more
Yelp,Donegal,Baker Babes,4.5,(2 reviews),Frostburg,,"“We've gone here several times, the owner is friendly, hard working sort that has a smart setup. They make a limited amount of items and typically sell…”more, Bakeries, Custom Cakes, Cupcakes","“We've gone here several times, the owner is friendly, hard working sort that has a smart setup. They make a limited amount of items and typically sell…” more"
Yelp,Donegal,Wildflower Bakery,5.0,(6 reviews),New Kensington,,"“I found all of my holiday cookies, pies &baked goodsin one adorable shoppe!”more, Bakeries","“I found all of my holiday cookies, pies & baked goods in one adorable shoppe!” more"
Yelp,Donegal,Oakmont Bakery,4.3,(851 reviews),Oakmont,$$,"“Love the high tech, modern establishment.. with the old school feel offreshly baked goodsright at...”more, Bakeries, Cupcakes, Donuts","“Love the high tech, modern establishment.. with the old school feel of freshly baked goods right at...” more"
Yelp,Donegal,Good Fellows Baking,5.0,(2 reviews),Morgantown,,"“I have been to Good Fellows a couple of times and have always been happy with the service and selection. Great muffins and bread. Staff are very…”more, Bakeries, Desserts, Cupcakes",“I have been to Good Fellows a couple of times and have always been happy with the service and selection. Great muffins and bread. Staff are very…” more
